City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
290,dabakala,8.3667,-4.4333,84.56,49,94,7.65,CI,1675807554
291,saskylakh,71.9167,114.0833,-30.08,100,99,1.52,RU,1675807551
292,chitral,35.8462,71.7858,25.57,50,1,8.63,PK,1675807555
293,fernie,49.5,-115.0687,42.89,97,100,7.14,CA,1675807555
294,yokote,39.3,140.5667,23.16,95,54,2.15,JP,1675807556
295,itoman,26.1247,127.6694,66.22,90,20,6.91,JP,1675807557
296,rocha,-34.4833,-54.3333,76.26,60,36,11.79,UY,1675807301
297,kavaratti,10.5669,72.642,79.81,71,96,13.02,IN,1675807557
298,novobirilyussy,56.9514,90.6661,16.3,95,100,6.6,RU,1675807558
299,sura,53.8879,45.7419,-4.09,100,99,3.22,RU,1675807558
300,tongling,30.95,117.7833,46.22,83,100,9.35,CN,1675807558
301,lubana,56.9,26.7167,21.18,95,84,7.23,LV,1675807559
302,nanakuli,21.3906,-158.1547,80.55,61,100,10.36,US,1675807559
303,pekan,3.4836,103.3996,75.31,90,100,7.92,MY,1675807559
304,husavik,66.0449,-17.3389,24.13,73,53,11.03,IS,1675807559
305,pundaguitan,6.3711,126.1689,79.11,77,80,14.18,PH,1675807560
306,yarmouth,41.7057,-70.2286,34.97,80,0,1.99,US,1675807560
307,russell,32.3502,-85.1999,71.01,40,0,4.61,US,1675807560
308,tura,25.5198,90.2201,57.61,52,6,3.49,IN,1675807561
309,hoquiam,46.9809,-123.8893,51.78,79,75,17.27,US,1675807561
310,fortuna,40.5982,-124.1573,59.94,66,0,1.99,US,1675807562
311,ribeira grande,38.5167,-28.7,55.78,66,20,13.0,PT,1675807562
312,puqi,29.7167,113.8833,50.31,90,100,4.88,CN,1675807563
313,geraldton,-28.7667,114.6,66.61,88,100,9.22,AU,1675807564
314,butaritari,3.0707,172.7902,81.18,79,100,22.17,KI,1675807425
315,rafaela,-31.2503,-61.4867,105.01,11,0,3.0,AR,1675807565
316,reims,49.1667,4.0833,29.14,86,0,0.0,FR,1675807566
317,pacatuba,-3.9842,-38.6203,80.46,81,100,4.09,BR,1675807566
318,kasempa,-13.4584,25.8338,63.19,97,100,6.71,ZM,1675807567
319,peachland,49.7665,-119.7357,45.79,70,100,5.01,CA,1675807567
320,aktau,43.65,51.2,37.98,69,100,11.92,KZ,1675807567
321,longkou,37.6508,120.3286,33.03,71,0,10.04,CN,1675807568
322,bethanien,-26.502,17.1583,75.76,42,11,8.52,NA,1675807569
323,korem,12.5058,39.5228,51.15,49,1,3.44,ET,1675807570
324,strezhevoy,60.7333,77.5889,-5.4,98,87,6.24,RU,1675807570
325,ust-maya,60.4167,134.5333,-34.4,99,100,1.16,RU,1675807571
326,mafeteng,-29.823,27.2374,62.28,74,92,0.09,LS,1675807571
327,lieksa,63.3167,30.0167,28.47,95,100,8.5,FI,1675807571
328,oktyabrskoye,43.0645,44.7417,15.94,92,100,11.18,RU,1675807572
329,hami,42.8,93.45,33.06,53,100,4.65,CN,1675807573
330,sao joao da barra,-21.6403,-41.0511,78.89,89,100,3.4,BR,1675807573
331,kant,27.8,79.8,55.53,62,0,8.3,IN,1675807574
332,sitka,57.0531,-135.33,39.09,75,100,3.44,US,1675807574
333,platonovka,52.7106,41.952,5.88,96,21,6.8,RU,1675807576
334,yuanping,38.7153,112.7575,27.73,52,37,4.45,CN,1675807576
335,isangel,-19.55,169.2667,82.51,89,75,2.3,VU,1675807577
336,santiago del estero,-27.7951,-64.2615,102.61,19,4,6.33,AR,1675807577
337,camacupa,-12.0167,17.4833,58.98,86,99,1.95,AO,1675807577
338,gurupi,-11.7292,-49.0686,75.18,86,97,2.89,BR,1675807344
339,ostrogozhsk,50.8664,39.0756,12.79,91,6,10.29,RU,1675807578
340,najran,17.4924,44.1277,66.85,59,17,7.25,SA,1675807578
341,muros,42.7762,-9.0603,45.09,65,5,19.51,ES,1675807558
342,antakya,36.2066,36.1572,38.52,60,73,4.23,TR,1675807579
343,upernavik,72.7868,-56.1549,-19.37,97,83,2.98,GL,1675807500
344,tateyama,34.9833,139.8667,48.09,81,99,12.62,JP,1675807579
345,sur,22.5667,59.5289,72.88,58,36,10.29,OM,1675807452
346,shakiso,5.75,38.9167,56.08,40,16,3.69,ET,1675807581
347,imbituba,-28.24,-48.6703,76.53,78,31,8.08,BR,1675807581
348,sept-iles,50.2001,-66.3821,18.05,82,75,17.27,CA,1675807582
349,makungu,-8.7333,35.2833,61.43,97,100,5.06,TZ,1675807582
350,troy,42.6056,-83.1499,42.48,78,100,13.8,US,1675807580
351,cap malheureux,-19.9842,57.6142,76.46,83,24,7.0,MU,1675807583
352,flinders,-34.5833,150.8552,71.19,92,99,3.0,AU,1675807584
353,la cruz,23.9167,-106.9,71.76,50,73,12.97,MX,1675807584
354,verkhnyaya inta,65.9811,60.3094,15.64,88,100,22.66,RU,1675807584
355,biankouma,7.7391,-7.6138,76.41,58,99,3.94,CI,1675807585
356,labuhan,-6.8844,112.2051,75.76,90,100,8.08,ID,1675807585
357,kursk,51.7303,36.1939,17.2,60,7,6.71,RU,1675807412
358,morgan city,29.6994,-91.2068,78.03,60,40,8.05,US,1675807586
359,nanortalik,60.1432,-45.2371,5.4,68,41,22.88,GL,1675807586
360,yambio,4.5721,28.3955,77.09,19,67,4.32,SS,1675807587
361,beyneu,45.3167,55.2,31.12,81,100,24.16,KZ,1675807588
362,skibbereen,51.55,-9.2667,46.11,85,88,3.83,IE,1675807588
363,esso,55.9333,158.7,2.52,96,100,3.22,RU,1675807589
364,hohhot,40.8106,111.6522,10.69,79,0,6.71,CN,1675807589
